text	kana	fed_text	sources
——バスが渋滞したからです。	バ'スガ/ジュウタイ'/_シタ'カラデ_ス	——バスが渋滞したからです。	grammar-n5#n5-61
——日本文化が好きだからです。	ニッポンブ'ンカガ/_スキ'ダカラデ_ス	——日本文化が好きだからです。	grammar-n5#n5-61
「ぜひ試食してください」と言わんばかりに、店主が新作を差し出してきた。	ゼ'_ヒ/シショク'/_シテ'/クダサ'イ、ト'/イワ'ンバカリニ、テ'ンシュガ/シンサクオ'/サシダ'_シテ/キ'タ	「ぜひ試食してください」と言わんばかりに、店主が新作を差し出してきた。	grammar-n1#n1-77
「試してごらん」とばかりに、店主が新作のパンを差し出してきた。	タメシ'テ/ゴラン'、トバカリニ'、テ'ンシュガ/シンサクノ'/パ'ンオ/サシダ'_シテ/キ'タ	「試してごらん」とばかりに、店主が新作のパンを差し出してきた。	grammar-n1#n1-58
「待ってました」とばかりに、彼は勢いよく手を挙げた。	マ'ッテマ_シタ、トバカリニ'、カ'レワ/イキオ'イ/ヨ'_ク/テ'オ/アゲタ'	「待ってました」とばかりに、彼は勢いよく手を挙げた。	grammar-n1#n1-58
「東京ラブストーリー」というドラマ。	トオキョオラブ_スト'オリイ、ト'/イウ'/ド'ラマ	「東京ラブストーリー」というドラマ。	grammar-n5#n5-68
～あいだに	アイダニ'	～あいだに	confusables-word
～うちに	ウチニ'	～うちに	confusables-word
～おかげで	オカゲデ'	～おかげで	confusables-word
～がち	ガチ'	～がち	confusables-word
～から	カラ'	～から	confusables-word
～からには	カ'ラニワ	～からには	confusables-word
～かわりに	カワリニ'	～かわりに	confusables-word
～ぎみ	ギミ'	～ぎみ	confusables-word
～くせに	_クセ'ニ	～くせに	confusables-word
～ことがある	コト'ガ/ア'ル	～ことがある	confusables-word
～ことだ	コト'ダ	～ことだ	confusables-word
～ことにする	コト'ニ/スル'	～ことにする	confusables-word
～ことになる	コト'ニ/ナ'ル	～ことになる	confusables-word
～ことは～が	コト'ワ、ガ'	～ことは～が	confusables-word
～さえ	サ'エ	～さえ	confusables-word
～ざるを得ない	ザルオ'/エ'ナイ	～ざるを得ない	confusables-word
～しか	シ'カ	～しか	confusables-word
～すら	ス'ラ	～すら	confusables-word
～せいで	セ'イデ	～せいで	confusables-word
～だけ	ダケ'	～だけ	confusables-word
～ために	タメ'ニ	～ために	confusables-word
～たら	タ'ラ	～たら	confusables-word
～っぽい	ッポ'イ	～っぽい	confusables-word
～てある	テ'/ア'ル	～てある	confusables-word
～ていく	テ'/イク'	～ていく	confusables-word
～ている	テ'/イル'	～ている	confusables-word
～ておく	テ'/オク'	～ておく	confusables-word
～てくる	テ'/ク'ル	～てくる	confusables-word
～てしまう	テ'/シマウ'	～てしまう	confusables-word
～てほしい	テホシイ'	～てほしい	confusables-word
～てみる	テ'/ミ'ル	～てみる	confusables-word
～と	ト'	～と	confusables-word
