score	sentence	voicevox_says	kuromoji_expects
17	10時から18時まで営業します。	じゅうじからじゅうわちじまでえぎょおします	じからじまでえぎょおします
13	42 キロを走りきった時、自然と涙が出た。	よんじゅうにきろおわしりきったときしぜんとなみだがでた	きろおわしりきったときしぜんとなみだがでた
11	30万人が参加しただけのことはある、見応えのあるマラソン大会だった。	さんじゅうまんにんがさんかしただけのことわあるみごたえのあるまらそんたいかいだった	まんにんがさんかしただけのことわあるみごたえのあるまらそんたいかいだった
11	SNSの普及により、誰もが情報の発信者になれる時代を迎えた。これは民主主義の深化に資する一方で、フェイクニュースの拡散や、世論の二極化といった新たな問題も生み出している。メディアリテラシー教育の重要性は、かつてないほど高まっていると言えよう。	えすえぬえすのふきゅうによりだれもがじょおほおのわっしんしゃになれるじだいおむかえたこれわみんしゅしゅぎのしんかにしするいっぽおでふぇえくにゅうすのかくさんやせろんのにきょくかといったあらたなもんだいもおみだしてえるめでぃありてらしいきょおいくのじゅうよおせえわかつてないほどたかまってえるといえよお	SNSのふきゅうによりだれもがじょおほおのわっしんしゃになれるじだいおむかえたこれわみんしゅしゅぎのしんかにしするいっぽおでふぇいくにゅすのかくさんやせろんのにきょくかといったあらたなもんだいもおみだしてえるめでぃありてらしきょおいくのじゅうよおせえわかつてないほどたかまってえるといえよお
11	この湖の深さは50メートルです。	このみずうみのふかさわごじゅうめえとるです	このみずうみのふかさわめとるです
11	飲む：飲みます/飲んで/飲める/飲まれる/飲ませる	のむのみますのんでのめるのまれるのませる	のむ：のみます/のんで/のめる/のまれる/のませる
11	今回のキャンペーンは20代の女性を中心に展開します。	こんかいのきゃんぺえんわにじゅうだいのじょせえおちゅうしんにてんかいします	こんかいのきゃんぺんわだいのじょせえおちゅうしんにてんかいします
11	城の天守閣は、高さ50メートルからある巨大な建築だ。	しろのてんしゅかくわたかさごじゅうめえとるからあるきょだいなけんちくだ	しろのてんしゅかくわたかさめとるからあるきょだいなけんちくだ
11	彼はもう80歳になるが、尚毎朝ジョギングを続けているそうだ。	かれわもおわちじゅっさいになるがなおまいあさじょぎんぐおつずけてえるそおだ	かれわもおさいになるがなおまいあさじょぎんぐおつずけてえるそおだ
11	夜11時までに寮に戻ります。	よるじゅういちじまでにりょおにもどります	よるじまでにりょおにもどります
9	20年にわたって、同じ分野の研究を続けてきた。	にじゅうねんにわたっておなじぶんやのけんきゅうおつずけてきた	ねんにわたっておなじぶんやのけんきゅうおつずけてきた
9	50歳にして初めて海外に渡航した。	ごじゅっさいにしてわじめてかいがいにとこおした	さいにしてわじめてかいがいにとこおした
9	A：明日のテストは何時から始まりますか。。B：午前九時からですよ。三十分前には教室に来てください。。A：はい、わかりました。	えあしたのてすとわなんじからわじまりますかびいごぜんくじからですよさんじゅっぷんまえにわきょおしつにきてくださいえわいわかりました	A：あしたのてすとわなんじからわじまりますかB：ごぜんきゅうじからですよさんじゅうふんまえにわきょおしつにきてくださいA：わいわかりました
9	A：明日のパーティー、何時に行きますか。。B：午後6時半に行くつもりです。。A：じゃあ、駅で6時に待ち合わせましょう。。B：わかりました。	えあしたのぱあてぃいなんじにいきますかびいごごろくじわんにいくつもりですえじゃあえきでろくじにまちあわせましょおびいわかりました	A：あしたのぱてぃなんじにいきますかB：ごごじわんにいくつもりですA：じゃあえきでじにまちあわせましょおB：わかりました
9	A：明日の飲み会、何人ぐらい来るかな。。B：今のところ、八人かな。田中さんが急に来られなくなったから。。A：そうか。じゃ、予約の人数を変更しておくね。。B：お願い。あと、個室がいいんだけど。。A：わかった、聞いてみるよ。	えあしたののみかいなんにんぐらいくるかなびいまのところわちにんかなたなかさんがきゅうにこられなくなったからえそおかじゃよやくのにんずうおえんこおしておくねびいおねがいあとこしつがいんだけどえわかったきいてみるよ	A：あしたののみかいなんにんぐらいくるかなB：いまのところわちにんかなたなかさんがきゅうにこられなくなったからA：そおかじゃよやくのにんずうおえんこおしておくねB：おねがいあとこしつがいんだけどA：わかったきいてみるよ
9	コーヒーを3杯飲んだから、夜眠れないわけだ。	こおひいおさんばいのんだからよるねむれないわけだ	こひおわいのんだからよるねむれないわけだ
