count	voicevox	kuromoji	example
223	あ		A：明日のパーティー、何時に行きますか。。B：午後6時半に行
194	い		SNSの普及により、誰もが情報の発信者になれる時代を迎えた。
173	え		この湖の深さは50メートルです。
119	え	A：	A：明日のテストは何時から始まりますか。。B：午前九時からで
113	お		コーヒーを3杯飲んだから、夜眠れないわけだ。
93	う		SNSの普及により、誰もが情報の発信者になれる時代を迎えた。
93		～	～ことは～が
91	びい	B：	A：明日のテストは何時から始まりますか。。B：午前九時からで
61	っ	ち	A：今回の情報漏洩の件、初動対応の遅れが致命的だった。原因究
44	あいだ	ま	あの店のラーメンは、若い人の間でとても人気がある。
38	ひとり	いちにん	100キロからある荷物を、彼は一人で運び切った。
28		い	A：来月から営業部の課長として、君を昇進させたいと考えている
22	ふたり	ににん	一度芽生えた猜疑の念は、二人の間に取り返しのつかない溝を生ん
20	っぽ	ちほ	あと一歩で優勝を逃してしまい、口惜しくて涙が止まらなかった。
16	とき	じ	この小説は虚構でありながら、当時の社会の矛盾を鋭くえぐり出し
16	あと	ご	この二つの製品は名前が紛らわしく、注文の際に間違える客が後を
15	く	きゅう	A：明日のテストは何時から始まりますか。。B：午前九時からで
15	っぷ	うふ	A：明日のテストは何時から始まりますか。。B：午前九時からで
15	っ	う	どんなに急いでも、一日に読めるのは精々三十ページくらいだ。
14	じ	ち	焙煎したての豆を挽くと、香ばしいコーヒーの匂いが部屋中に広が
13		/	飲む：飲みます/飲んで/飲める/飲まれる/飲ませる
13		→	歌います→歌う／歌わない
13	おぜ	たいせ	大勢の来賓を前に表彰されるという、晴れがましい場に立たせてい
13	もの	しゃ	リーダーたる者、部下に命じる前に自ら率先垂範すべきだ。
9	もの	ぶつ	使者は貢ぎ物を朝廷に恭しく奉った。
9	ゆ	い	アイスクリームを外に置いておいたら、あっという間に溶けてしま
9	ひとり	えちにん	ここは夜になると人通りが少なくて危険なので、一人で歩かないほ
8	ふ	お	A：道頓堀でお好み焼きを食べませんか。。B：いいですね。でも
8	えあい	AI	AIが最適な配送ルートを瞬時に弾き出してくれる。
8	ひと	いち	一晩で三十センチも雪が積もり、朝の交通は大きく乱れた。
7	ほか	た	この店のラーメンは、他では味わえない独特なスープが自慢です。
7	た	ば	根拠のない噂がSNSを通じて瞬く間に流布し、収拾がつかなくな
7	しち	なな	明日のパーティーは、夜七時から、駅前のレストランで行います。
7	こめ	べえ	この地域は昔から米作りが盛んで、おいしいお米が有名です。
6	えすえぬえす	SNS	SNSの普及により、誰もが情報の発信者になれる時代を迎えた。
6	び	B：	A：明日の飲み会、何人ぐらい来るかな。。B：今のところ、八人
6		き	10月になると、涼しくなります。
6		ん	A：田中さん、明日のプレゼン資料、最終確認お願いできますか。
6	っぱ	ちわ	この店のラーメンは、スープが特別美味しいです。豚骨を十時間以
6	ぜ	せ	A：このシャツはいくらですか。。B：三千五百円です。今セール
6	みっか	さんにち	エンジンが故障したヨットは、三日間も太平洋を漂流し続けた。
6	かた	ほお	この条件に該当する方は、速やかに窓口までお申し出ください。
5	かな		は
5	ご		5キロ走り続けました。
5	えむ	M	A：いらっしゃいませ。。B：アイスコーヒーをひとつください。
5		う	ごうう
5	び	ひ	レポートの冒頭に、研究の要旨を三百字以内でまとめて記載してく
5	ぶ	ふ	計画そのものは申し分ないが、人手不足という隘路をどう打開する
5	ば	わ	お湯が沸いたら、火を止めて茶葉を入れてください。
4	ろく		A：明日のパーティー、何時に行きますか。。B：午後6時半に行
4		え	その僧侶は厳しい戒律を守り、俗世との関わりを断っている。
4	っぴ	ちひ	A：すみません、たこ焼きを二つと、お好み焼きを一つください。
4	に	ん	この旅行で、一人でも何とかなるという自信がつきました。
4	よなか	やちゅう	弟は夜中に「もう食べられない」と寝言を言って、家族を笑わせた
4	おこ	いか	彼は普段冷静だが、その一言にはさすがに怒りを露わにした。
4	っぷ	うぶ	面接には十分前に来られることが望ましいとされています。
4	あと	のち	あれほど激しく対立した二人だが、腹を割って話した後はかえって
4	ひと	じん	やりたいことは先延ばしにするな。歳月人を待たずと言うだろう。
4	ち	じ	言葉少なな彼女の表情から、その心中を推し量るしかなかった。
4	い	ゆ	行き先は、前から気になっていた金沢です。
4	ん	に	失敗を恐れていては、新しいことには何一つ挑戦できない。
3	いち		5分の遅刻ならまだしも、1時間遅れるのはありえない。
3	に	じ	軽微な暴行罪で有罪判決を受けた被告人に、二十日間の拘留が科さ
3	が	か	エレベーターに乗ったら、三階のボタンを押してください。
3	なか	ちゅう	本日はお忙しい中ありがとうございました。それでは、失礼いたし
3	ぶい	V	V かける
3	っ	く	インターネット上の画像でも、著作権には十分注意しなければなら
3	ま		かつて交易の要衝として繁栄を極めた港町も、今は静かだ。
3	か	つ	このカレーは辛いです。
3	い	こと	その学者は従来の定説に異を唱え、新たな仮説を提唱した。
3	ぐ	く	あの文豪の人柄を物語る逸話は、今でも語り草になっている。
3	ど	く	角が立つのを承知で、あえて反対意見を述べさせていただきます。
3	し	じ	兄は堅実に貯金を続け、片や弟は稼いだ端から使い果たしてしまう
3	かよ	とお	資格試験に合格するために、毎日図書館へ通っています。
2	ゅうじ		10時から18時まで営業します。
2	え	い	SNSの普及により、誰もが情報の発信者になれる時代を迎えた。
2	ごじゅう		この湖の深さは50メートルです。
2		：	飲む：飲みます/飲んで/飲める/飲まれる/飲ませる
2	にじゅう		今回のキャンペーンは20代の女性を中心に展開します。
2	じゅう		10年ぶりに高校のクラスメイトと再会した。
2	に		1か月に2回映画館へ行きます。
2	さんが		3月から4月にかけて、全国で桜が咲く。
2	え	せつ	A：今回の情報漏洩の件、初動対応の遅れが致命的だった。原因究
2	ば	じょお	大勢の来賓を前に表彰されるという、晴れがましい場に立たせてい
2	く	っ	締め切りが刻々と迫る中、チーム全員が寝る間も惜しんで作業に当
2	さきとき	おじ	かつてこの同盟の盟主として君臨した国も、今や往時の勢いはない
2	ぜえ	々	どんなに急いでも、一日に読めるのは精々三十ページくらいだ。
2	じゅう	なか	市街地と言わず郊外と言わず、町中がお祭りムードに包まれた。
2	えち		締切まで1日で全部終わらせっこない。
2	え	おこな	品質を維持するため、当社は部品の製造をすべて国内工場で行って
2	むくい	ほお	報連相は、単なるルールではない。
2	ひとりひとり	いちにんいちにん	民主主義の社会では、一人一人の意見が尊重されなければならない
2	みっか	にち	3日間にわたって国際会議が行われた。
2	え	A	A：明日のパーティーに何を持っていきますか。。B：飲み物を持
2	あら	ろ	あまりに理不尽な仕打ちに、温厚な彼でさえ激しい憤慨を露わにし
2		ょお	かつて交易の要衝として繁栄を極めた港町も、今は静かだ。
2	わいふぁい	WiFi	このカフェは駅に近い上に、Wi-Fi も高速だ。
2	き	ょく	一度植えつけられた不信感を払拭するのは、並大抵のことではない
2	れえ	よわい	加齢とともに血管は硬くなり、さまざまな病気の原因となりうる。
2		＝	寒くありません ＝ 寒くないです
2	ぱん	ほ	起業当初は順風満帆に見えたが、実は数々の困難を乗り越えてきた
2	か	こお	契約書の細かい条項まで確認しないと、後で思わぬ不利益を被りか
2		や	工事の音が喧しくて、電話の声がほとんど聞こえませんでした。
2	びす		工事の音が喧しくて、電話の声がほとんど聞こえませんでした。
2	い	こな	事故の原因を調べるため、警察が詳しい調査を行っています。
2	いと	ひ	新しい課題が次々と持ち上がり、担当者は休む暇もない。
2	す		素潜りで海の底まで潜り、貝を採るのが彼の得意技だ。
2	つう	かよい	通帳の残高を見て、使いすぎていたことに愕然とした。
2	こ	きた	面接には十分前に来られることが望ましいとされています。
2	あ	う	あらう
2	よ	ょ	ぎきょ
2	かず	すう	この理論からは、応用範囲の広い数多くの概念が派生している。
2	か	が	とちゅうに川があって、はしをわたります。
2	く	ぐ	一度口にした心ない言葉は覆水盆に返らずで、いくら謝っても彼女
2	けが	よご	雨の日に外を歩くと、靴がすぐに泥で汚れる。
2	す	か	過ぎたことをいつまでも悔やんでも詮ないから、前を向くしかない
2	れ	が	我思う、ゆえに我あり——この一節は近代哲学の出発点とされてい
2	つ		改正された個人情報保護法は、来月一日をもって施行される運びと
2	た		改正された個人情報保護法は、来月一日をもって施行される運びと
2		にち	改正された個人情報保護法は、来月一日をもって施行される運びと
2	ごお	さと	海外赴任では、郷に入っては郷に従えの精神で、現地の商習慣を素
2	ごわ	ずよ	経験豊富なベテランをもってしても、あの案件は手強かった。
2	ふくつう	わらいた	激しい腹痛に七転八倒し、救急車を呼ぶ羽目になった。
2	わざ	ごお	限られた予算でこの品質を実現するのは、まさに至難の業と言える
2		あ	惚れ込んでいる時は痘痕も靨で、相手の欠点すら愛おしく見えてし
2	と		惚れ込んでいる時は痘痕も靨で、相手の欠点すら愛おしく見えてし
2	とも	あか	山頂から見渡すと、街の灯りが一面に広がっていた。
2	すき	ひま	取り締まりが緩んだ隙に、街には悪質な密売人が跋扈し始めた。
2	せえ	なま	生と死の繰り返しは、抗いようのない自然の摂理である。
2	じ	し	専門家の手によって、傷んだ古文書が見事に復元された。
2	ゆ	る	創業者たちの弛まぬ努力こそが、今日の会社の礎を築いたのである
1	ゅうわちじ		10時から18時まで営業します。
1	よんじゅうに		42 キロを走りきった時、自然と涙が出た。
1	さんじゅう		30万人が参加しただけのことはある、見応えのあるマラソン大会
1	わちじゅっ		彼はもう80歳になるが、尚毎朝ジョギングを続けているそうだ。
1	ゅういちじ		夜11時までに寮に戻ります。
1	ごじゅっ		50歳にして初めて海外に渡航した。
1	さんば	わ	コーヒーを3杯飲んだから、夜眠れないわけだ。
1	じゅうが		10月になると、涼しくなります。
1	じゅっぷ	ふ	10分しか残っていません。
1	いっ		1か月に2回映画館へ行きます。
1	しが		3月から4月にかけて、全国で桜が咲く。
1	ごふ	ぶ	5分の遅刻ならまだしも、1時間遅れるのはありえない。
1	びいつか	B：ごにち	A：夏休みはどこに行きますか。。B：両親と韓国に行く予定です
1	なんじ	つ	A：田中さん、明日のプレゼン資料、最終確認お願いできますか。
1	あいてぃい	IT	IT業界は技術の進歩が目まぐるしく、常に学び続ける必要がある
