text	kana	fed_text	sources
～あいだに	アイダニ'	～あいだに	confusables-word
～うちに	ウチニ'	～うちに	confusables-word
～おかげで	オカゲデ'	～おかげで	confusables-word
～がち	ガチ'	～がち	confusables-word
～から	カラ'	～から	confusables-word
～からには	カ'ラニワ	～からには	confusables-word
～かわりに	カワリニ'	～かわりに	confusables-word
～ぎみ	ギミ'	～ぎみ	confusables-word
～くせに	_クセ'ニ	～くせに	confusables-word
～ことがある	コト'ガ/ア'ル	～ことがある	confusables-word
～ことだ	コト'ダ	～ことだ	confusables-word
～ことにする	コト'ニ/スル'	～ことにする	confusables-word
～ことになる	コト'ニ/ナ'ル	～ことになる	confusables-word
～ことは～が	コト'ワ、ガ'	～ことは～が	confusables-word
～さえ	サ'エ	～さえ	confusables-word
～ざるを得ない	ザルオ'/エ'ナイ	～ざるを得ない	confusables-word
～しか	シ'カ	～しか	confusables-word
～すら	ス'ラ	～すら	confusables-word
～せいで	セ'イデ	～せいで	confusables-word
～だけ	ダケ'	～だけ	confusables-word
～ために	タメ'ニ	～ために	confusables-word
～たら	タ'ラ	～たら	confusables-word
～っぽい	ッポ'イ	～っぽい	confusables-word
～てある	テ'/ア'ル	～てある	confusables-word
～ていく	テ'/イク'	～ていく	confusables-word
～ている	テ'/イル'	～ている	confusables-word
～ておく	テ'/オク'	～ておく	confusables-word
～てくる	テ'/ク'ル	～てくる	confusables-word
～てしまう	テ'/シマウ'	～てしまう	confusables-word
～てほしい	テホシイ'	～てほしい	confusables-word
～てみる	テ'/ミ'ル	～てみる	confusables-word
～と	ト'	～と	confusables-word
～というより	ト'/イウヨリ'	～というより	confusables-word
～どころか	ド'コロカ	～どころか	confusables-word
～としたら	ト'/_シタ'ラ	～としたら	confusables-word
～とすると	ト'/スルト'	～とすると	confusables-word
～とすれば	ト'/スレ'バ	～とすれば	confusables-word
～ないわけにはいかない	ナ'イ/ワ'ケニワ/イカナイ'	～ないわけにはいかない	confusables-word
～なくなる	ナクナル'	～なくなる	confusables-word
～なら	ナ'ラ	～なら	confusables-word
～にあたり	ニ'/ア'タリ	～にあたり	confusables-word
～にかかわらず	ニ'/カカワラ'ズ	～にかかわらず	confusables-word
～について	ニ'/ツ'イテ	～について	confusables-word
～にとって	ニ'/ト'ッテ	～にとって	confusables-word
～には～が	ニワ'、ガ'	～には～が	confusables-word
～にもかかわらず	ニモ'/カカワラ'ズ	～にもかかわらず	confusables-word
～によって	ニヨッテ'	～によって	confusables-word
～に違いない	ニ'/チガイナイ'	～に違いない	confusables-word
～に応じて	ニ'/オオジテ'	～に応じて	confusables-word
～に関して	ニ'/カン_シテ'	～に関して	confusables-word
～に基づいて	ニ'/モトズ'イテ	～に基づいて	confusables-word
～に決まっている	ニ'/キマッテ'/イル'	～に決まっている	confusables-word
～に相違ない	ニ'/ソオイ'/ナ'イ	～に相違ない	confusables-word
～に対して	ニ'/タ'イ_シテ	～に対して	confusables-word
～に当たって	ニ'/アタッテ'	～に当たって	confusables-word
～ので	ノ'デ	～ので	confusables-word
～のに	ノ'ニ	～のに	confusables-word
～のみ	ノ'ミ	～のみ	confusables-word
～のみならず	ノ'ミ/ナラ'ズ	～のみならず	confusables-word
～ば	バ'	～ば	confusables-word
～ばかり	バ'カリ	～ばかり	confusables-word
～ばかりか	バ'カリカ	～ばかりか	confusables-word
～はずだ	ハズダ'	～はずだ	confusables-word
～べきだ	ベ'キダ	～べきだ	confusables-word
～まで	マ'デ	～まで	confusables-word
～まに	マニ'	～まに	confusables-word
～みたいだ	ミ'タイダ	～みたいだ	confusables-word
～ものだ	モノ'ダ	～ものだ	confusables-word
～ようだ	ヨオダ'	～ようだ	confusables-word
～ように	ヨオニ'	～ように	confusables-word
～ようにする	ヨオニ'/スル'	～ようにする	confusables-word
～ようになる	ヨオニ'/ナ'ル	～ようになる	confusables-word
～らしい	ラシ'イ	～らしい	confusables-word
～わけだ	ワ'ケダ	～わけだ	confusables-word
～わけにはいかない	ワ'ケニワ/イカナイ'	～わけにはいかない	confusables-word
～をもとに	オ'/モト'ニ	～をもとに	confusables-word
～を通じて	オ'/ツウジテ'	～を通じて	confusables-word
～を問わず	オ'/トワ'ズ	～を問わず	confusables-word
～以上	イ'ジョオ	～以上	confusables-word
～一方で	イッポ'オデ	～一方で	confusables-word
～気味	ギミ'	～気味	confusables-word
～向き	ム'キ	～向き	confusables-word
～向け	ムケ'	～向け	confusables-word
～際に	ギワ'ニ	～際に	confusables-word
～次第	シダイ'	～次第	confusables-word
～上で	ジョオデ'	～上で	confusables-word
～上に	ジョオニ'	～上に	confusables-word
～上は	ジョオワ'	～上は	confusables-word
～反面	ハンメン'	～反面	confusables-word
V かける	ブ'イ、カケ'ル	V かける	confusables-word
V きる	ブ'イ、キ'ル	V きる	confusables-word
V すぎる	ブ'イ、スギ'ル	V すぎる	confusables-word
