text	kana	fed_text	sources
A：あした えいがを みに いきませんか。。B：いいですね。なんじに あいますか。。A：ろくじに えきで あいましょう。	エ'イ、ア_シタ'、エ'イガオ、ミ'ニ、イキマセ'ンカ、ビ'イ、イ'イデ_スネ、ナ'ンジニ、アイマ'_スカ、エ'イ、ロ'クジニ、エ'キデ、アイマショ'オ	A：あした えいがを みに いきませんか。。B：いいですね。なんじに あいますか。。A：ろくじに えきで あいましょう。	listening
A：いっしょに カフェに いきませんか。。B：すみません、いま いそがしいです。あした なら いいですよ。	エ'イ、イッショニ'、カ'フェニ、イキマセ'ンカ、ビ'イ、スミマセ'ン、イ'マ、イソガシ'イデ_ス、ア_シタ'、ナ'ラ、イ'イデ_スヨ	A：いっしょに カフェに いきませんか。。B：すみません、いま いそがしいです。あした なら いいですよ。	listening
A：いま なんじですか。。B：くじはんです。	エ'イ、イ'マ、ナ'ンジデ_スカ、ビ'イ、ク'ジハンデ_ス	A：いま なんじですか。。B：くじはんです。	listening
A：いらっしゃいませ。。B：アイスコーヒーをひとつください。サイズはMで。。A：はい、四百円になります。	エ'イ、イラッシャイマ'セ、ビ'イ、アイ_スコオヒ'イオ/_ヒト'_ツ/クダサ'イ、サ'イズワ/エ'ム/デ'、エ'イ、ハ'イ、ヨンヒャク'エンニ/ナリマ'_ス	A：いらっしゃいませ。。B：アイスコーヒーをひとつください。サイズはMで。。A：はい、四百円になります。	listening
A：きょうは なんにちですか。。B：にがつ じゅうごにちです。	エ'イ、キョ'オワ、ナン'ニチデ_スカ、ビ'イ、ニ'/ガツ'、ジュ'ウゴニ/チデ'_ス	A：きょうは なんにちですか。。B：にがつ じゅうごにちです。	listening
A：このシャツはいくらですか。。B：三千五百円です。今セール中で、二着買うと二割引になります。。A：じゃあ二着お願いします。	エ'イ、コノ'/シャ'ツワ/イ'クラデ_スカ、ビ'イ、サンゼ'ン/ゴヒャク'エンデ_ス、コンセエルチュウデ'、ニ'チャ_ク/カウト'/ニワ'リビキニ/ナリマ'_ス、エ'イ、ジャ'ア/ニ'チャク/オネガイ'/シマ'_ス	A：このシャツはいくらですか。。B：三千五百円です。今セール中で、二着買うと二割引になります。。A：じゃあ二着お願いします。	listening
A：このプロジェクト、当初の見込みより大幅にコストが超過していますね。。B：はい。原材料の高騰と、仕様変更の度重なる発生が主な原因です。。A：今後の対策として、仕様変更のプロセスを厳格化する必要がありますね。承認フローを見直しましょう。。B：それに加えて、調達先の多様化も検討したいのですが。。A：いいですね。次回の定例会議でまとめて提案しましょう。	エ'イ、コノ'/プロ'ジェ_クト、ト'オショノ/ミコミヨ'リ/オオハバニ'/コ'_ストガ/チョオカ'/_シテ'/イマ'_スネ、ビ'イ、ハ'イ、ゲンザ'イリョオノ/コオトオト'、シヨオヘ'ンコオノ/タビカサナ'ル/ハッセエガ'/オ'モナ/ゲンインデ'_ス、エ'イ、コンゴノ'/タイサ_クト'/_シテ'、シヨオヘ'ンコオノ/プロ'セスオ/ゲンカ_クカ'/スル'/_ヒツヨオガ'/アリマ'_スネ、ショオニンフロ'オオ/ミナオシマショ'オ、ビ'イ、ソレニ'/クワエ'テ、チョオタ_ツサキノ'/タヨオカモ'/ケントオ'/_シタ'イ/ノデ'_スガ、エ'イ、イ'イデ_スネ、ジ'カイノ/テエレエカ'イギデ/マトメテ'/テエアン'/シマショ'オ	A：このプロジェクト、当初の見込みより大幅にコストが超過していますね。。B：はい。原材料の高騰と、仕様変更の度重なる発生が主な原因です。。A：今後の対策として、仕様変更のプロセスを厳格化する必要がありますね。承認フローを見直しましょう。。B：それに加えて、調達先の多様化も検討したいのですが。。A：いいですね。次回の定例会議でまとめて提案しましょう。	listening
A：このりんごは いくらですか。。B：ひとつ ひゃくえんです。。A：じゃ、みっつ ください。	エ'イ、コノ'/リンゴワ'、イ'クラデ_スカ、ビ'イ、_ヒト'ツ、ヒャク'エンデ_ス、エ'イ、ジャ'、ミ'ッツ、クダサ'イ	A：このりんごは いくらですか。。B：ひとつ ひゃくえんです。。A：じゃ、みっつ ください。	listening
A：システム障害の件、お客様からのクレームが増えています。。B：技術部からの報告では、明日の午前中には復旧する見込みです。。A：それまでの間、お客様への説明はどうしましょう。。B：公式サイトに詳細を掲載し、個別にも対応しましょう。	エ'イ、_システムショ'オガイノ/ケ'ン、オキャ_クサ'マカラノ/クレエムガ'/フエ'テ/イマ'_ス、ビ'イ、ギジュツ'ブカラノ/ホオコクデワ'、ア_シタ'ノ/ゴゼンチュウニワ'/フッキュウ'/スル'/ミコミデ'_ス、エ'イ、ソレマ'デノ/アイダ'、オキャ_クサ'マエノ/セツメエワ'/ド'オ/シマショ'オ、ビ'イ、コオ_シキ'/サイトニ'/ショオサイオ'/ケエサイ'/シ'、コベツニモ'/タイオオ'/シマショ'オ	A：システム障害の件、お客様からのクレームが増えています。。B：技術部からの報告では、明日の午前中には復旧する見込みです。。A：それまでの間、お客様への説明はどうしましょう。。B：公式サイトに詳細を掲載し、個別にも対応しましょう。	listening
A：すきな たべものは なんですか。。B：すしが すきです。。A：わたしも すしが すきです。	エ'イ、_スキナ'、タベ'モノワ、ナ'ンデ_スカ、ビ'イ、スシ'ガ、_スキデ'_ス、エ'イ、ワタシモ'、スシ'ガ、_スキデ'_ス	A：すきな たべものは なんですか。。B：すしが すきです。。A：わたしも すしが すきです。	listening
A：すみません、このシャツ、色違いはありますか。。B：こちらのシャツは白と黒と青がございます。。A：青はMサイズはありますか。。B：申し訳ありません、青のMサイズは売り切れてしまいまして。白と黒ならMサイズがございます。。A：じゃ、白のMをください。	エ'イ、スミマセ'ン、コノ'/シャ'ツ、イロチ'ガイワ/アリマ'_スカ、ビ'イ、コチラノ'/シャ'ツワ/シ'ロト/ク'ロト/ア'オガ/ゴザイマ'_ス、エ'イ、ア'オワ/エ'ム/サ'イズワ/アリマ'_スカ、ビ'イ、モオシワケ'/アリマセ'ン、ア'オノ/エ'ム/サ'イズワ/ウリキレ'テ/シマイマ'_シテ、シ'ロト/ク'ロナラ/エ'ム/サ'イズガ/ゴザイマ'_ス、エ'イ、ジャ'、シ'ロノ/エ'ム/オ'/クダサ'イ	A：すみません、このシャツ、色違いはありますか。。B：こちらのシャツは白と黒と青がございます。。A：青はMサイズはありますか。。B：申し訳ありません、青のMサイズは売り切れてしまいまして。白と黒ならMサイズがございます。。A：じゃ、白のMをください。	listening
