text	kana	fed_text	sources
あいまい	アイマイ'	あいまい	vocab-n3,vocab-n2
あかじ	アカジ'	あかじ	vocab-n3,vocab-n2
あくまで	アク'マデ	あくまで	vocab-n3,vocab-n2,vocab-n1
あたかも	ア'タカモ	あたかも	vocab-n3,vocab-n2,confusables-word
あたたまる	アタタマ'ル	あたたまる	vocab-n3
あたためる	アタタメ'ル	あたためる	vocab-n3
あっけない	アッケナ'イ	あっけない	vocab-n3,vocab-n2
あっとうてき	アットオテキ'	あっとうてき	vocab-n3
あてはまる	アテハマ'ル	あてはまる	vocab-n3,vocab-n2
あてる	アテル'	あてる	vocab-n3,vocab-n2
あふれる	アフレ'ル	あふれる	vocab-n3,vocab-n2
あやしい	アヤシイ'	あやしい	vocab-n3,vocab-n2
あらい	アライ'	あらい	vocab-n3,vocab-n2
あらかじめ	アラカジメ'	あらかじめ	vocab-n3,vocab-n2
あらためて	アラタメ'テ	あらためて	vocab-n3,vocab-n2
あらゆる	アラユ'ル	あらゆる	vocab-n3
ありがたい	アリガタ'イ	ありがたい	vocab-n3
あるしゅの	ア'ル/シュ'ノ	あるしゅの	vocab-n3
あれるぎー	アレル'/ギ'イ	あれるぎー	vocab-n3
あわただしい	アワタダシ'イ	あわただしい	vocab-n3,vocab-n2
あんきする	アン_キ'/スル'	あんきする	vocab-n3
あんぜん	アンゼン'	あんぜん	vocab-n3
あんぜんせい	アン'/ゼンセイ'	あんぜんせい	vocab-n3
あんていする	アンテイ'/スル'	あんていする	vocab-n3
あんのじょう	アンノ'ジョオ	あんのじょう	vocab-n3,vocab-n2
いか	イカ'	いか	vocab-n3
いがい	イ'ガイ	いがい	vocab-n3,vocab-n2
いかす	イカ'ス	いかす	vocab-n3,vocab-n2
いかに	イカ'ニ	いかに	vocab-n3
いかにも	イカ'ニモ	いかにも	vocab-n3,vocab-n2,confusables-word
いかり	イカリ'	いかり	vocab-n3
いきいき	イキイ'キ	いきいき	vocab-n3
いきなり	イキナリ'	いきなり	vocab-n3,confusables-word
いけんする	イケン'/スル'	いけんする	vocab-n3
いご	イ'/ゴ'	いご	vocab-n3
いさん	イサン'	いさん	vocab-n3,vocab-n2
いじ	イ'ジ	いじ	vocab-n3,vocab-n2
いしき	イ_シキ'	いしき	vocab-n3,vocab-n2
いしきする	イ_シキ'/スル'	いしきする	vocab-n3
いじする	イ'ジ/スル'	いじする	vocab-n3
いじゅうする	イジュウ'/スル'	いじゅうする	vocab-n3
いじょう	イジョオ'	いじょう	vocab-n3,vocab-n2
いずれにせよ	イズレニ'/セ'ヨ	いずれにせよ	vocab-n3,vocab-n2
いせき	イセキ'	いせき	vocab-n3,vocab-n2
いぜん	イゼン'	いぜん	vocab-n3
いた	イタ'	いた	vocab-n3
いたみ	イタミ'	いたみ	vocab-n3
いちおう	イチオオ'	いちおう	vocab-n3,vocab-n2
いちがいに	イチ'ガイニ	いちがいに	vocab-n3,vocab-n2
いちじるしい	イチジルシ'イ	いちじるしい	vocab-n3,vocab-n2
いちだんと	イチダント'	いちだんと	vocab-n3,vocab-n2
いちどに	イチド'ニ	いちどに	vocab-n3
いっきに	イ'ッキニ	いっきに	vocab-n3,vocab-n2
いっきょに	イ'ッキョニ	いっきょに	vocab-n3
いっさい	イッサイ'	いっさい	vocab-n3,vocab-n2
いっしゅの	イ'ッシュノ	いっしゅの	vocab-n3
いっせいに	イッセイニ'	いっせいに	vocab-n3,vocab-n2
いっそ	イッソ'	いっそ	vocab-n3
いっそう	イッソオ'	いっそう	vocab-n3,vocab-n2,vocab-n1
いったん	イッタン'	いったん	vocab-n3,vocab-n2,vocab-n1
いっぱんてき	イッパンテ'/キ'	いっぱんてき	vocab-n3
いっぱんに	イッパンニ'	いっぱんに	vocab-n3,vocab-n2
いと	イ'ト	いと	vocab-n3,vocab-n2
いどうする	イドオ'/スル'	いどうする	vocab-n3
いない	イナイ'	いない	vocab-n3
いまだに	イマダニ'	いまだに	vocab-n3,vocab-n2
いまにも	イ'マニモ	いまにも	vocab-n3,vocab-n2
いまわしい	イマワシ'イ	いまわしい	vocab-n3,vocab-n2
いみん	イミン'	いみん	vocab-n3
いよう	イヨオ'	いよう	vocab-n3
いらい	イ'ライ	いらい	vocab-n3,vocab-n2
いらいら	イ'ライラ	いらいら	vocab-n3
いりょう	イリョオ'	いりょう	vocab-n3
いわば	イワ'バ	いわば	vocab-n3,vocab-n2
いわゆる	イワユ'ル	いわゆる	vocab-n3,vocab-n2
いんさつ	インサツ'	いんさつ	vocab-n3
いんさつする	インサ_ツ'/スル'	いんさつする	vocab-n3
いんしょう	インショオ'	いんしょう	vocab-n3,vocab-n2
ういういしい	ウイウイシ'イ	ういういしい	vocab-n3,vocab-n2
うかぶ	ウカブ'	うかぶ	vocab-n3
うかべる	ウカベル'	うかべる	vocab-n3
うけいれる	ウケイレル'	うけいれる	vocab-n3,vocab-n2
うしなう	ウシナウ'	うしなう	vocab-n3
うそ	ウ'ソ	うそ	vocab-n3
うちこむ	ウ_チコム'	うちこむ	vocab-n3,vocab-n2
うちゅう	ウ'チュウ	うちゅう	vocab-n3,vocab-n2
うっとうしい	ウットオシ'イ	うっとうしい	vocab-n3,vocab-n2
うとましい	ウトマシ'イ	うとましい	vocab-n3,vocab-n2
うなる	ウナ'ル	うなる	vocab-n3
うばう	ウバ'ウ	うばう	vocab-n3,vocab-n2
うまい	ウマ'イ	うまい	vocab-n3
うめる	ウメル'	うめる	vocab-n3
うらぎる	ウラギ'ル	うらぎる	vocab-n3,vocab-n2
うらむ	ウラ'ム	うらむ	vocab-n3,vocab-n2
うりあげ	ウリアゲ'	うりあげ	vocab-n3
うりあげだか	ウリアゲダ'カ	うりあげだか	vocab-n3
うろうろ	ウ'ロウロ	うろうろ	vocab-n3
うわさ	ウワサ'	うわさ	vocab-n3
うんてんする	ウンテン'/スル'	うんてんする	vocab-n3
うんどう	ウ'ン/ド'オ	うんどう	vocab-n3
えいきょう	エイキョオ'	えいきょう	vocab-n3,vocab-n2
えいぎょう	エイギョオ'	えいぎょう	vocab-n3,vocab-n2
えいきょうする	エイキョオ'/スル'	えいきょうする	vocab-n3
えいきょうりょく	エイキョ'オリョク	えいきょうりょく	vocab-n3
えいよう	エイヨオ'	えいよう	vocab-n3,vocab-n2
えいようそ	エイヨオ'ソ	えいようそ	vocab-n3,vocab-n2
えねるぎー	エネ'ルギイ	えねるぎー	vocab-n3
える	エ'ル	える	vocab-n3,vocab-n2
えんえんと	エンエント'	えんえんと	vocab-n3
えんかつ	エンカツ'	えんかつ	vocab-n3,vocab-n2
えんきする	エ'ン_キ/スル'	えんきする	vocab-n3
えんしょう	エンショオ'	えんしょう	vocab-n3
えんりょ	エンリョ'	えんりょ	vocab-n3,vocab-n2
おいこす	オイコ'ス	おいこす	vocab-n3,vocab-n2
おいこむ	オイコ'ム	おいこむ	vocab-n3,vocab-n2
おいだす	オイダ'ス	おいだす	vocab-n3
おいつく	オイツ'ク	おいつく	vocab-n3,vocab-n2
おう	オ'ウ	おう	vocab-n3
おうえんする	オオエン'/スル'	おうえんする	vocab-n3
おうきゅうしょち	オオキュウ'ショチ	おうきゅうしょち	vocab-n3
おうぼする	オオボ'/スル'	おうぼする	vocab-n3
おうよう	オ'ウ/ヨ'オ	おうよう	vocab-n3
おうようする	オ'ウ/ヨ'オ/スル'	おうようする	vocab-n3
おおいに	オ'オイニ	おおいに	vocab-n3,vocab-n2
おおう	オオウ'	おおう	vocab-n3
おおざっぱに	オオザ'ッパニ	おおざっぱに	vocab-n3
おおはば	オオハバ'	おおはば	vocab-n3
おかしい	オカシ'イ	おかしい	vocab-n3
おぎなう	オギナ'ウ	おぎなう	vocab-n3,vocab-n2
おくぶかい	オクブカ'イ	おくぶかい	vocab-n3,vocab-n2
おくりとどける	オクリトドケ'ル	おくりとどける	vocab-n3
おこたる	オコタ'ル	おこたる	vocab-n3,vocab-n2
おこなう	オコナウ'	おこなう	vocab-n3,vocab-n2
おさえる	オサエ'ル	おさえる	vocab-n3
おさない	オサナ'イ	おさない	vocab-n3,vocab-n2
おさめる	オサメ'ル	おさめる	vocab-n3,vocab-n2
おしい	オシ'イ	おしい	vocab-n3,vocab-n2
おしこむ	オ_シコ'ム	おしこむ	vocab-n3
おしつける	オ_シツケ'ル	おしつける	vocab-n3
おずおず	オ'ズオズ	おずおず	vocab-n3
おせん	オセン'	おせん	vocab-n3,vocab-n2
おせんする	オセン'/スル'	おせんする	vocab-n3
おそう	オソオ'	おそう	vocab-n3,vocab-n2
おそれる	オソレ'ル	おそれる	vocab-n3,vocab-n2
おちこむ	オ_チコ'ム	おちこむ	vocab-n3
おちつかない	オ_チツカナイ'	おちつかない	vocab-n3
おちつく	オ_チツク'	おちつく	vocab-n3
おどおど	オ'ドオド	おどおど	vocab-n3
おとなしい	オトナシ'イ	おとなしい	vocab-n3,vocab-n2
おどろかす	オドロカ'ス	おどろかす	vocab-n3
おぼん	オボン'	おぼん	vocab-n3
おまけに	オマケニ'	おまけに	vocab-n3
おもいがけない	オモイガケ'ナイ	おもいがけない	vocab-n3,vocab-n2
おもいきる	オモイキ'ル	おもいきる	vocab-n3,vocab-n2
おもいこむ	オモイコ'ム	おもいこむ	vocab-n3,vocab-n2
おもいつく	オモイツ'ク	おもいつく	vocab-n3
おもに	オ'モニ	おもに	vocab-n3
おもわず	オモワ'ズ	おもわず	vocab-n3
およそ	オヨソ'	およそ	vocab-n3
およぶ	オヨブ'	およぶ	vocab-n3,vocab-n2
おる	オ'ル	おる	vocab-n3,vocab-n1
おれる	オレ'ル	おれる	vocab-n3
おろす	オロ'ス	おろす	vocab-n3
おんけん	オンケン'	おんけん	vocab-n3,vocab-n2
おんこう	オンコオ'	おんこう	vocab-n3,vocab-n2
おんせん	オンセン'	おんせん	vocab-n3,vocab-n2
おんだん	オンダン'	おんだん	vocab-n3,vocab-n2
おんど	オ'ンド	おんど	vocab-n3
おんわ	オ'ンワ	おんわ	vocab-n3,vocab-n2
かいがいしい	カイガイシ'イ	かいがいしい	vocab-n3
かいかく	カイカク'	かいかく	vocab-n3,vocab-n2
かいけい	カイケイ'	かいけい	vocab-n3
かいけつ	カイケツ'	かいけつ	vocab-n3,vocab-n2
かいけつする	カイケ_ツ'/スル'	かいけつする	vocab-n3
がいこう	ガ'/イコオ'	がいこう	vocab-n3,vocab-n2
かいこする	カ'イコ/スル'	かいこする	vocab-n3
かいぜんする	カイゼン'/スル'	かいぜんする	vocab-n3
かいぜんてん	カイゼンテン'	かいぜんてん	vocab-n3
かいてき	カイテキ'	かいてき	vocab-n3,vocab-n2
かいてんする	カイテン'/スル'	かいてんする	vocab-n3
がいねん	ガイネン'	がいねん	vocab-n3,vocab-n2
かいはつ	カイハツ'	かいはつ	vocab-n3,vocab-n2
かいはつする	カイハ_ツ'/スル'	かいはつする	vocab-n3
かいふくする	カイ_フク'/スル'	かいふくする	vocab-n3
がいよう	ガイヨオ'	がいよう	vocab-n3,vocab-n2
かいりょう	カイリョオ'	かいりょう	vocab-n3,vocab-n2
かえって	カ'エッテ	かえって	vocab-n3,vocab-n2
かえりみる	カエリミ'ル	かえりみる	vocab-n3,vocab-n1
がか	ガ'カ	がか	vocab-n3
かがくしゃ	カガ'/_クシャ'	かがくしゃ	vocab-n3
かぎる	カギ'ル	かぎる	vocab-n3,vocab-n2
かくごする	カクゴ'/スル'	かくごする	vocab-n3
かくしゅ	カ'_クシュ	かくしゅ	vocab-n3
かくしんてき	カ'_ク/シンテキ'	かくしんてき	vocab-n3,vocab-n2
かくす	カク'ス	かくす	vocab-n3,vocab-n2
がくぜんと	ガクゼント'	がくぜんと	vocab-n3
かくだい	カクダイ'	かくだい	vocab-n3,vocab-n2
かくちょう	カ_クチョオ'	かくちょう	vocab-n3,vocab-n2,vocab-n1
かくていする	カ_クテイ'/スル'	かくていする	vocab-n3
かくとくする	カ_クト_ク'/スル'	かくとくする	vocab-n3
かくにん	カクニン'	かくにん	vocab-n3,vocab-n2
がくぶ	ガ'クブ	がくぶ	vocab-n3,vocab-n2
かくほする	カ'_クホ/スル'	かくほする	vocab-n3,vocab-n2
がくもん	ガクモン'	がくもん	vocab-n3,vocab-n2
かくりつ	カクリツ'	かくりつ	vocab-n3
がくりょく	ガクリョク'	がくりょく	vocab-n3
がくれき	ガクレキ'	がくれき	vocab-n3,vocab-n2
かくれる	カクレ'ル	かくれる	vocab-n3
かげ	カ'ゲ	かげ	vocab-n3,vocab-n2
かげき	カ'ゲキ	かげき	vocab-n3,vocab-n2
かけこむ	カケコ'ム	かけこむ	vocab-n3
かこむ	カコム'	かこむ	vocab-n3
かさなる	カサナル'	かさなる	vocab-n3
かざる	カザル'	かざる	vocab-n3
かしこい	カ_シコ'イ	かしこい	vocab-n3
かず	カ'ズ	かず	vocab-n3
かせぐ	カセ'グ	かせぐ	vocab-n3,vocab-n2
かせつ	カセツ'	かせつ	vocab-n3,vocab-n2
かだい	カダイ'	かだい	vocab-n3,vocab-n2
がたがた	ガ'タガタ	がたがた	vocab-n3
かたまる	カタマル'	かたまる	vocab-n3,vocab-n2
かたむく	カタム'ク	かたむく	vocab-n3,vocab-n2
かたむける	カタムケ'ル	かたむける	vocab-n3
かたりかける	カタリカケ'ル	かたりかける	vocab-n3
かたる	カタル'	かたる	vocab-n3,vocab-n2,vocab-n1
かち	カ'チ	かち	vocab-n3,vocab-n2
かちく	カ_チク'	かちく	vocab-n3
がっか	ガッカ'	がっか	vocab-n3,vocab-n2
がっかり	ガッカ'リ	がっかり	vocab-n3,vocab-n2
かっきてき	カッ_キテキ'	かっきてき	vocab-n3,vocab-n2
かつどう	カ'ツ/ド'オ	かつどう	vocab-n3,vocab-n2
かつどうする	カ'ツ/ド'オ/スル'	かつどうする	vocab-n3
がっぺい	ガッペイ'	がっぺい	vocab-n3,vocab-n2
かつやく	カツヤク'	かつやく	vocab-n3,vocab-n2
かていする	カテイ'/スル'	かていする	vocab-n3
かなう	カナ'ウ	かなう	vocab-n3
かなしみ	カナシミ'	かなしみ	vocab-n3
かならずしも	カナラズ'シモ	かならずしも	vocab-n3,vocab-n2
かねる	カネ'ル	かねる	vocab-n3,vocab-n2
かのうせい	カ'ノ/ウセイ'	かのうせい	vocab-n3
かぶ	カブ'	かぶ	vocab-n3
かぶしき	カブ_シキ'	かぶしき	vocab-n3,vocab-n2
がまん	ガ'マン	がまん	vocab-n3,vocab-n2
からむ	カラ'ム	からむ	vocab-n3
かりに	カリニ'	かりに	vocab-n3,vocab-n2
かる	カ'ル	かる	vocab-n3
かれる	カレル'	かれる	vocab-n3,vocab-n2
かろりー	カロリイ'	かろりー	vocab-n3
かん	カン'	かん	vocab-n3
かんかく	カンカク'	かんかく	vocab-n3,vocab-n2
かんきゃく	カンキャク'	かんきゃく	vocab-n3
かんきょう	カンキョオ'	かんきょう	vocab-n3,vocab-n2
かんごし	カ'ンゴ/シ'	かんごし	vocab-n3
かんさ	カ'ンサ	かんさ	vocab-n3,vocab-n2
かんさつする	カンサ_ツ'/スル'	かんさつする	vocab-n3
かんしゅう	カンシュウ'	かんしゅう	vocab-n3,vocab-n2
かんじょう	カンジョオ'	かんじょう	vocab-n3,vocab-n2,vocab-n1
かんじょうてき	カンジョウ'テキ	かんじょうてき	vocab-n3
かんせい	カンセイ'	かんせい	vocab-n3,vocab-n2,vocab-n1
かんせいする	カンセイ'/スル'	かんせいする	vocab-n3
かんせつてき	カンセ_ツテ'/キ'	かんせつてき	vocab-n3,vocab-n2
かんせん	カンセン'	かんせん	vocab-n3,vocab-n2
かんせんする	カンセン'/スル'	かんせんする	vocab-n3
かんそうする	カンソオ'/スル'	かんそうする	vocab-n3,vocab-n2
かんだい	カンダイ'	かんだい	vocab-n3,vocab-n2
かんてん	カンテン'	かんてん	vocab-n3,vocab-n2
